N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
16,744,0.1684317527915055,0.4881215467261081,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 11), (8, 12), (8, 13), (9, 12), (9, 14), (10, 12), (11, 15), (13, 14), (13, 15), (14, 15)]"
16,1962,0.2068431975404738,0.4780509135784528,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (7, 11), (8, 10), (8, 12), (9, 12), (9, 13), (10, 14), (11, 13), (11, 15), (12, 14), (13, 15), (14, 15)]"
16,793,0.208431013795213,0.4625938360101205,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 12), (8, 11), (8, 13), (9, 13), (9, 14), (10, 13), (11, 15), (12, 14), (12, 15), (14, 15)]"
16,795,0.223968979936922,0.4647000581705875,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 12), (8, 11), (8, 13), (9, 13), (9, 14), (10, 14), (11, 15), (12, 13), (12, 15), (14, 15)]"
16,572,0.2289720099965535,0.4775563647767879,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 12), (9, 13), (10, 12), (10, 14), (11, 14), (11, 15), (12, 15), (13, 14), (13, 15)]"
16,1915,0.2386352850810791,0.4805000036043251,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 8), (7, 9), (8, 10), (8, 11), (9, 12), (9, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 13), (12, 14), (13, 15)]"
16,794,0.2405646741181861,0.472412873177527,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 12), (8, 11), (8, 13), (9, 13), (9, 14), (10, 14), (11, 12), (12, 15), (13, 15), (14, 15)]"
16,562,0.2457573260324839,0.4865237179208958,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 12), (9, 12), (10, 13), (10, 14), (11, 13), (11, 15), (12, 14), (13, 15), (14, 15)]"
16,1963,0.2464401649951568,0.4707279289409853,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (7, 11), (8, 10), (8, 12), (9, 12), (9, 13), (10, 14), (11, 13), (11, 15), (12, 15), (13, 14), (14, 15)]"
16,2746,0.251273960764431,0.4595948579364863,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 11), (7, 12), (8, 13), (8, 14), (9, 12), (9, 13), (10, 12), (10, 15), (11, 15), (13, 14), (14, 15)]"
16,3778,0.2630266285286833,0.4692343628089905,2,21,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 9), (5, 10), (6, 11), (6, 12), (7, 13), (8, 9), (8, 14), (9, 13), (10, 11), (10, 14), (11, 15), (12, 14), (12, 15), (13, 15)]"
16,2147,0.2691128507947748,0.4647719111162763,2,21,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 11), (8, 12), (9, 13), (9, 14), (10, 13), (10, 14), (11, 15), (12, 13), (12, 15), (14, 15)]"
